Date,Followers,Daily Growth
2025-12-15,10.0,26
2025-12-16,36.0,247
2025-12-17,283.0,183
2025-12-18,466.0,349
2025-12-19,815.0,215
2025-12-20,1030.0,55
2025-12-21,1085.0,78
2025-12-22,1163.0,75
2025-12-23,1238.0,55
2025-12-24,1293.0,44
2025-12-25,1337.0,48
2025-12-26,1385.0,14
2025-12-27,1399.0,80
2025-12-28,1479.0,37
2025-12-29,1516.0,34
2025-12-30,1550.0,21
2025-12-31,1571.0,17
2026-01-01,1588.0,15
2026-01-02,1603.0,11
2026-01-03,1614.0,7
2026-01-04,1621.0,17
2026-01-05,1638.0,155
2026-01-06,1793.0,54
2026-01-07,1847.0,34
2026-01-08,1881.0,18
2026-01-09,1899.0,13
2026-01-10,1912.0,3
2026-01-11,1915.0,12
2026-01-12,1927.0,18
2026-01-13,1945.0,48
2026-01-14,1993.0,65
2026-01-15,2058.0,19
2026-01-16,2077.0,15
2026-01-17,2092.0,15
2026-01-18,2107.0,28
2026-01-19,2135.0,28
2026-01-20,2163.0,26
2026-01-21,2189.0,13
2026-01-22,2202.0,14
2026-01-23,2216.0,14
2026-01-24,2230.0,13
2026-01-25,2243.0,11
2026-01-26,2254.0,12
2026-01-27,2266.0,114
2026-01-28,2380.0,30
2026-01-29,2410.0,127
2026-01-30,2537.0,77
2026-01-31,2614.0,76
2026-02-01,2690.0,30
2026-02-02,2720.0,53
2026-02-03,2773.0,79
2026-02-04,2852.0,36
2026-02-05,2888.0,74
2026-02-06,2962.0,52
2026-02-07,3014.0,60
2026-02-08,3074.0,37
2026-02-09,3111.0,28
2026-02-10,3139.0,31
2026-02-11,3170.0,0
