Date,Total,New,Returning
2025-12-16,1522.0,1522,0
2025-12-17,4871.0,4731,140
2025-12-18,28000.0,26195,1805
2025-12-19,11267.0,7867,3400
2025-12-20,17681.0,10907,6774
2025-12-21,9425.0,3632,5793
2025-12-22,5328.0,1575,3753
2025-12-23,5380.0,1206,4174
2025-12-24,5718.0,1850,3868
2025-12-25,3069.0,1142,1927
2025-12-26,2357.0,607,1750
2025-12-27,3178.0,636,2542
2025-12-28,2525.0,657,1868
2025-12-29,7051.0,2407,4644
2025-12-30,4783.0,1565,3218
2025-12-31,3348.0,716,2632
2026-01-01,1414.0,249,1165
2026-01-02,2228.0,555,1673
2026-01-03,2052.0,457,1595
2026-01-04,1457.0,413,1044
2026-01-05,1158.0,248,910
2026-01-06,4235.0,1416,2819
2026-01-07,13374.0,6225,7149
2026-01-08,5655.0,2104,3551
2026-01-09,3081.0,789,2292
2026-01-10,1870.0,597,1273
2026-01-11,1480.0,327,1153
2026-01-12,2124.0,310,1814
2026-01-13,1483.0,290,1193
2026-01-14,2260.0,449,1811
2026-01-15,4387.0,1067,3320
2026-01-16,5207.0,1550,3657
2026-01-17,2593.0,692,1901
2026-01-18,1866.0,429,1437
2026-01-19,1279.0,336,943
2026-01-20,3770.0,753,3017
2026-01-21,3280.0,560,2720
2026-01-22,2853.0,523,2330
2026-01-23,2031.0,371,1660
2026-01-24,1247.0,373,874
2026-01-25,1796.0,400,1396
2026-01-26,1407.0,304,1103
2026-01-27,1688.0,443,1245
2026-01-28,1462.0,500,962
2026-01-29,9218.0,3417,5801
2026-01-30,2111.0,361,1750
2026-01-31,8918.0,5017,3901
2026-02-01,4717.0,2439,2278
2026-02-02,4352.0,2093,2259
2026-02-03,2898.0,1234,1664
2026-02-04,2879.0,1084,1795
2026-02-05,5885.0,1549,4336
2026-02-06,3212.0,1106,2106
2026-02-07,4282.0,1141,3141
2026-02-08,4499.0,1156,3343
2026-02-09,3130.0,1204,1926
2026-02-10,2370.0,840,1530
2026-02-11,2678.0,700,1978
